label,source,cold_inlet_temp,cold_mass_flow,hot_inlet_temp,hot_mass_flow,Th_out_DWSim,Tc_out_DWSim,efficiency_DWSim,U_DWSim,Q_hot_DWSim_W,cold_dp_DWSim_Pa,hot_dp_DWSim_Pa,Th_out_PINN,Tc_out_PINN,efficiency_PINN,Q_hot_PINN_W,err_Th_K,err_Tc_K,abs_err_Th_K,abs_err_Tc_K,pct_err_Th,pct_err_Tc,abs_pct_err_Th,abs_pct_err_Tc,err_efficiency_ppt,err_Q_W
Design point,manual,303.15,3.0,353.15,3.0,325.9036843002424,330.44358450313143,54.537848962731125,349.6589691442885,342159.2325575558,17.326581402056036,1877.1279768943787,325.86374,330.32724,54.572521972656205,342660.8654663083,-0.03994528657051433,-0.11634451289705794,0.03994528657051433,0.11634451289705794,-0.012256776616773159,-0.03520858577781086,0.012256776616773159,0.03520858577781086,0.03467300992507916,501.63290875253733
High hot flow,manual,303.15,3.0,353.15,5.0,334.0288185138755,335.087646127281,63.82478450018997,382.139806229363,400206.3285045858,17.157100498690852,4702.839741501259,334.24103,335.10867,37.817944335937455,395764.7874755855,0.2122093181557716,0.021026968422120262,0.2122093181557716,0.021026968422120262,0.06353024242037263,0.006275065244910072,0.06353024242037263,0.006275065244910072,-26.006840164252516,-4441.541029000306
Low hot flow,manual,303.15,3.0,353.15,0.75,306.73246600562254,314.7667412074235,92.8393804307942,246.8727412041216,145727.84797534795,17.9683072593034,155.13225157746638,306.33743,314.4777,93.62513427734372,146968.05453186028,-0.39503314429441616,-0.28904955703285395,0.39503314429441616,0.28904955703285395,-0.12878752270298477,-0.0918297644548086,0.12878752270298477,0.0918297644548086,0.7857538465495253,1240.206556512334
High cold flow,manual,303.15,5.0,353.15,3.0,319.02562638804307,323.65504462970335,68.28176790367522,452.9587760935512,428533.8838189549,42.87608989421278,1890.9942993899458,319.47577,323.75394,67.34846191406245,422880.99235839816,0.45014265492568484,0.09889213787477047,0.45014265492568484,0.09889213787477047,0.14109921513896162,0.03055479576655876,0.14109921513896162,0.03055479576655876,-0.9333059896127622,-5652.89146055677
Low cold flow,manual,303.15,0.75,353.15,3.0,343.11511952877356,343.392129052032,80.44433579577249,133.19114560355598,126018.02895766133,1.2977165910124313,1846.7558327741572,343.3318,343.27112,19.636425781249955,123297.11748046847,0.2166675806014382,-0.12101088796947579,0.2166675806014382,0.12101088796947579,0.06314719703958382,-0.03523985488646415,0.06314719703958382,0.03523985488646415,-60.807910014522534,-2720.911477192858
Max temperature diff,manual,288.15,3.0,373.15,3.0,372.62870651089304,350.8907884072537,10.045379482530016,366.91578353495913,6546.403636204928,17.140931590125547,1779.2117963644705,343.85315,342.46127,34.466883042279385,367909.84965820285,-28.77555709683054,-8.42951521389432,28.77555709683054,8.42951521389432,-7.722313550738031,-2.4023187534096184,7.722313550738031,2.4023187534096184,24.421503559749368,361363.4460219979
Min temperature diff,manual,315.15,3.0,335.15,3.0,324.18445758726324,326.12199756059476,54.844421684796274,354.0963262893481,137705.28161914795,17.049326235734043,1918.9274742471753,324.21048,326.07495,54.69760131835926,137378.49547119113,0.02602214906488598,-0.047046388719763854,0.02602214906488598,0.047046388719763854,0.008026957633489075,-0.014426009000212396,0.008026957633489075,0.014426009000212396,-0.14682036643701224,-326.7861479568237
Cold inlet very low,manual,288.15,1.0,360.0,2.0,335.5219779591666,337.23027595895223,68.25171309194111,139.24600000092033,204930.0005258574,2.073918667039834,885.2521048867638,335.93976,336.63037,33.486766456811054,201432.34350585938,0.41778034161467303,-0.5999048652022339,0.41778034161467303,0.5999048652022339,0.124516535147965,-0.17789175764137335,0.124516535147965,0.17789175764137335,-34.76494663513006,-3497.6570199980342
Hot inlet very high,manual,295.0,2.0,373.15,4.0,372.284720586225,358.6640946280071,10.309718083812324,309.1943631988966,14488.238504248588,8.247949096752563,2998.866823916731,347.41046,353.50412,32.93606983265353,430982.8338867184,-24.874259160443728,-5.159974754960217,24.874259160443728,5.159974754960217,-6.681514922577272,-1.438664988284358,6.681514922577272,1.438664988284358,22.626351748841206,416494.59538246976
Equal mass flows low,manual,290.0,1.0,345.0,1.0,313.89901064895804,321.1125392296249,56.553084103200426,127.99665313919613,130188.74142346164,2.3791007793479366,261.68787356435496,313.99152,320.88867,56.37906161221591,129801.51354980469,0.09250546432321016,-0.22386735462487195,0.09250546432321016,0.22386735462487195,0.02946981710199195,-0.06971616716119151,0.02946981710199195,0.06971616716119151,-0.1740224909845196,-387.22787365695694
Equal mass flows high,manual,300.0,5.0,365.0,5.0,331.38138346288576,333.72238993881547,51.7998705400507,515.3014918587303,703637.6441218009,42.282565501576755,4662.490426499629,331.83755,334.10306,51.01914625901442,694089.9752807617,0.45617146875486014,0.38066792251265724,0.45617146875486014,0.38066792251265724,0.13765754249316503,0.11406724091315801,0.13765754249316503,0.11406724091315801,-0.780724281036278,-9547.66884103918
Imbalanced flows,manual,293.15,0.5,368.15,5.5,361.93042260841423,361.9356128885321,91.67426874973371,123.82897139518116,143193.3302864786,0.8079904764890671,5397.4018382124195,360.5604,360.2827,10.119474283854137,174735.49232788035,-1.3700283213048579,-1.6528980447820913,1.3700283213048579,1.6528980447820913,-0.3785336174370569,-0.45668289770952886,0.3785336174370569,0.45668289770952886,-81.55479446587958,31542.162041401753
random_001,random,298.64396932545156,1.2391513947025854,357.80077872041056,2.171302271310631,336.71723526362854,335.6873864207047,62.55793761079755,147.73883903353368,191629.82989781647,2.3708364080666797,1028.5222491851164,336.53952,335.61377,35.9405090879537,193245.0942048716,-0.17771499995666318,-0.07361688945468359,0.17771499995666318,0.07361688945468359,-0.05277870609074212,-0.021930192325553228,0.05277870609074212,0.021930192325553228,-26.617428522843852,1615.2643070551276
